Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789822521,50,,Aggregated,155.600000,155.600000,2,3,4,4,5,7,16,31,910,940,940,2136,2136,2,5.849128374999837,1.488542000004145,942.1676080000054,116.8244382022472
1789822522,50,,Aggregated,161.800000,161.800000,2,3,4,4,5,6,15,20,910,940,940,2310,2310,2,5.62513825714255,1.488542000004145,942.1676080000054,116.83766233766234
1789822523,50,,Aggregated,163.900000,163.900000,2,3,4,4,5,7,15,20,910,940,940,2471,2471,2,5.475743576689321,1.488542000004145,942.1676080000054,116.84823957911776
1789822524,50,,Aggregated,163.600000,163.600000,3,3,4,4,5,7,15,19,910,940,940,2641,2641,3,5.337883698598823,1.488542000004145,942.1676080000054,116.85800833017797
1789822525,50,,Aggregated,163.500000,163.500000,2,3,4,4,5,6,14,18,910,940,940,2801,2801,2,5.171031477329302,1.488542000004145,942.1676080000054,116.86611924312746
1789822526,50,,Aggregated,163.500000,163.500000,2,3,4,4,5,6,13,18,910,940,940,2959,2959,2,5.039550692463526,1.488542000004145,942.1676080000054,116.87326799594457
1789822527,50,,Aggregated,163.600000,163.600000,2,3,4,4,5,6,12,18,900,940,940,3126,3126,2,4.919517943377891,1.488542000004145,942.1676080000054,116.88003838771593
1789822528,50,,Aggregated,163.300000,163.300000,2,3,4,4,5,6,12,18,900,940,940,3288,3288,2,4.8379054294401564,1.488542000004145,942.1676080000054,116.88594890510949
1789822529,50,,Aggregated,163.500000,163.500000,2,3,4,4,5,6,11,17,900,940,940,3457,3457,2,4.77597896731256,1.488542000004145,942.1676080000054,116.89152444315881
1789822530,50,,Aggregated,163.600000,163.600000,2,3,4,4,5,6,11,17,900,940,940,3615,3615,2,4.6936795604424475,1.488542000004145,942.1676080000054,116.89626556016597
1789822531,50,,Aggregated,164.400000,164.400000,2,3,4,4,5,6,10,17,900,940,940,3788,3788,2,4.60783669588156,1.488542000004145,942.1676080000054,116.90100316789862
1789822532,50,,Aggregated,163.700000,163.700000,2,3,4,4,5,6,10,16,900,940,940,3950,3950,2,4.541926137214979,1.488542000004145,942.1676080000054,116.90506329113924
1789822533,50,,Aggregated,164.100000,164.100000,2,3,4,4,5,6,10,16,900,940,940,4111,4111,2,4.478640002189007,1.488542000004145,942.1676080000054,116.90878131841401
1789822534,50,,Aggregated,163.600000,163.600000,2,3,4,4,5,6,9,16,900,940,940,4282,4282,2,4.417123315740127,1.488542000004145,942.1676080000054,116.91242410088743
1789822535,50,,Aggregated,164.700000,164.700000,2,3,4,4,5,6,9,15,900,940,940,4450,4450,2,4.360464475730218,1.488542000004145,942.1676080000054,116.91573033707866
1789822536,50,,Aggregated,163.200000,163.200000,2,3,4,4,5,6,9,15,900,940,940,4606,4606,2,4.3030128161092875,1.488542000004145,942.1676080000054,116.91858445505862
1789822537,50,,Aggregated,163.800000,163.800000,2,3,4,4,5,6,9,15,900,940,940,4780,4780,2,4.239704404393176,1.488542000004145,942.1676080000054,116.92154811715481
1789822538,50,,Aggregated,164.200000,164.200000,2,3,4,4,5,6,9,15,900,940,940,4949,4949,2,4.191827048090404,1.488542000004145,942.1676080000054,116.92422711658921
1789822539,50,,Aggregated,165.200000,165.200000,2,3,4,4,5,6,9,15,130,940,940,5116,5116,2,4.146165982994463,1.488542000004145,942.1676080000054,116.92670054730257
1789822540,50,,Aggregated,165.500000,165.500000,2,3,3,4,5,6,8,15,130,940,940,5273,5273,2,4.101489559264092,1.488542000004145,942.1676080000054,116.92888298881093
1789822541,50,,Aggregated,166.000000,166.000000,2,3,3,4,5,6,8,14,130,940,940,5443,5443,2,4.064788469042719,1.488542000004145,942.1676080000054,116.93110417049421
1789822542,50,,Aggregated,166.100000,166.100000,2,3,3,4,5,6,8,14,130,940,940,5608,5608,2,4.024585455599032,1.488542000004145,942.1676080000054,116.93313124108417
1789822543,50,,Aggregated,165.600000,165.600000,2,3,3,4,5,6,8,14,130,940,940,5765,5765,2,3.9854380466607244,1.488542000004145,942.1676080000054,116.93495229835213
1789822544,50,,Aggregated,165.800000,165.800000,2,3,3,4,5,6,8,14,130,940,940,5927,5927,2,3.9513923850175505,1.488542000004145,942.1676080000054,116.93673021764805
1789822545,50,,Aggregated,164.700000,164.700000,2,3,3,4,5,6,8,13,110,940,940,6091,6091,2,3.915669972253993,1.488542000004145,942.1676080000054,116.93843375472008
1789822546,50,,Aggregated,166.200000,166.200000,2,3,3,4,5,6,8,12,110,940,940,6253,6253,2,3.8900801408922403,1.488542000004145,942.1676080000054,116.94002878618264
1789822547,50,,Aggregated,164.400000,164.400000,2,3,4,4,5,6,8,12,110,940,940,6419,6419,2,3.885958179311315,1.488542000004145,942.1676080000054,116.94157968530924
1789822548,50,,Aggregated,164.200000,164.200000,2,3,4,4,5,6,8,12,110,940,940,6592,6592,2,3.86261063819773,1.488542000004145,942.1676080000054,116.94311286407768
1789822549,50,,Aggregated,163.700000,163.700000,2,3,4,4,5,6,8,12,110,940,940,6745,6745,2,3.8390407647145643,1.488542000004145,942.1676080000054,116.94440326167532
1789822550,50,,Aggregated,163.700000,163.700000,2,3,3,4,5,6,8,11,110,940,940,6914,6914,2,3.806838381978567,1.488542000004145,942.1676080000054,116.9457622215794
